camp_lodi,camp_lut,camp_verb,lodi_lut,lodi_verb,lut.verb
SM_b21346,SM_b21042,SM_b20476,SMc01851,SMa1207,SMc02369
SM_b20476,SM_b20171,SMc02872,SMc02255,SM_b21346,SMc02872
SMa1220,SMc02516,SMc03061,SMc02777,SMc02507,SMc02369
SMc02474,SMa1299,SMc00397,SMc03064,SM_b21487,SMa1299
SMa1232,SMa1363,SM_b20071,SMc02871,,SMc02506
SMa1363,SMc03744,SMc02872,SM_b21207,SM_b20477,SMc02229
SMc02517,SMc02516,SMc03744,SMa1232,SMa1232,SMc02871
SMa1363,SMa1299,SM_b20476,SMa1299,SMa1213,SM_b21183
SM_b21207,SM_b20476,SinmeB_5232,SMc02124,SMc02854,SinmeB_2807
SMc00813,SMa1216,SinmeB_2807,SMa1191,SM_b20071,SMc04301
SMc03744,SMc00397,SMc02229,SMc02517,SMc00988,SMa1211
SM_b21208,SMc01499,SM_b21183,SM_b20171,SMc02369,SMc03064
SMc03744,SMa1211,SMa1216,SMc04462,SMc02872,SMa1207
SM_b20476,SMc03064,SMa0766,SM_b20044,SMa0814,SMc03165
SMc02507,SMc04301,SMc03062,SMc00813,SMc02369,SM_b22023
SMc02474,SMc00193,SMa1207,SMc02506,SMc00813,SM_b20571
SMc02854,SMc03062,SMc00193,SM_b20407,SinmeB_5232,SMa1176
SMc03018,SMc03165,SMa1198,SMc00813,SM_b20407,SMc01242
SMa1216,SMa1198,SMc03062,SMc02254,SMc02229,SMc01242
SMc00277,SMc02240,SMc02240,SMc00277,SMc02254,SM_b20725
SM_b20615,SMc02240,SMc02240,SMc01499,SMc03018,SM_b20725
SM_b21639,SMc03165,SMa1195,SMc03064,SMc03063,SM_b20725
SM_b20044,SMc00147,SM_b22023,SMc03165,SMc02517,SM_b20071
SM_b20615,SM_b20726,SMa0766,SM_b20044,SM_b20044,SinmeB_4058
SM_b21346,SMc01634,SM_b20725,SMa1220,SMc00949,SM_b22022
SMc03063,SMc00193,SM_b20071,SMc03063,SM_b22023,SM_b22022
SMa1220,SM_b22022,SMc00193,SM_b21639,SMc03063,SM_b22022
SMc00949,SM_b22022,SMc00193,SMa1232,SMa1220,SM_b22022
SMa1232,SM_b22022,SM_b22022,SMc01242,SM_b20071,SM_b22022
SMc02391,SM_b22022,SM_b22022,SMc02391,SM_b21639,SM_b22022
SMc02254,SM_b22022,SM_b22022,SMc01242,SM_b20571,SM_b22022
SM_b20724,SM_b22022,SM_b22022,SMc03165,SinmeB_2807,SM_b22022
SM_b20724,SM_b22022,SM_b22022,SMc00147,SM_b22023,SM_b22022
SM_b21207,SM_b22022,SM_b22022,SMc02254,SMa1176,SM_b22022
SMc00813,SM_b22022,SM_b22022,SMc00147,SMc02391,SM_b22022
SM_b20724,SM_b22022,SM_b22022,SMc01242,SMa0766,SM_b22022
SMc00193,SM_b22022,SM_b22022,SM_b21207,SMc02254,SM_b22022
SM_b22022,SM_b22022,SM_b22022,SMc00813,SM_b20725,SM_b22022
SM_b22022,SM_b22022,SM_b22022,SMc01242,SM_b20725,
SM_b22022,SM_b22022,SM_b22022,SM_b20726,SM_b21207,
SM_b22022,SM_b22022,SM_b22022,SMc01634,SM_b20725,
SM_b22022,SM_b22022,SM_b22022,SM_b22022,SM_b20071,
SM_b22022,SM_b22022,SM_b22022,SM_b22022,SMc00813,
SM_b22022,SM_b22022,SM_b22022,SM_b22022,SinmeB_4058,
