ID	Gene Name	Species
SM_B21223	sulfate adenylyltransferase subunit CysD(cysD)	Sinorhizobium meliloti 2011	
SMC00091	sulfate adenylyltransferase subunit CysD(cysD)	Sinorhizobium meliloti 2011	
SMC00090	sulfate adenylyltransferase subunit CysN(cysN)	Sinorhizobium meliloti 2011	
SM_B21530	sulfoacetaldehyde acetyltransferase(xsc)	Sinorhizobium meliloti 2011	
SM_B21249	sulfotransferase domain-containing protein(SM2011_RS10405)	Sinorhizobium meliloti 2011	
SMC00911	sulfurtransferase/chromate resistance protein(SM2011_RS18360)	Sinorhizobium meliloti 2011	
SMC03855	tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase MtaB(mtaB)	Sinorhizobium meliloti 2011	
SMC01115	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB(miaB)	Sinorhizobium meliloti 2011	
SMC01435	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA(miaA)	Sinorhizobium meliloti 2011	
SMC01118	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB(tsaB)	Sinorhizobium meliloti 2011	
SMC03861	tRNA (guanosine(37)-N1)-methyltransferase TrmD(trmD)	Sinorhizobium meliloti 2011	
SMC01108	tRNA (guanosine(46)-N(7))-methyltransferase TrmB(SM2011_RS16410)	Sinorhizobium meliloti 2011	
SMC00534	tRNA 2-thiocytidine(32) synthetase TtcA(ttcA)	Sinorhizobium meliloti 2011	
SMC00659	tRNA 2-thiouridine(34) synthase MnmA(mnmA)	Sinorhizobium meliloti 2011	
SMC01206	tRNA guanosine(34) transglycosylase Tgt(tgt)	Sinorhizobium meliloti 2011	
SMC01207	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA(queA)	Sinorhizobium meliloti 2011	
SMC00892	tetraacyldisaccharide 4'-kinase(lpxK)	Sinorhizobium meliloti 2011	
SM_B20687	tetratricopeptide repeat protein(SM2011_RS13440)	Sinorhizobium meliloti 2011	
SMC03867	thiamine diphosphokinase(SM2011_RS30955)	Sinorhizobium meliloti 2011	
SM_B20618	thiamine phosphate synthase(SM2011_RS14105)	Sinorhizobium meliloti 2011	
SMC03996	thiamine phosphate synthase(SM2011_RS28535)	Sinorhizobium meliloti 2011	
SMC04455	thiamine pyrophosphate-binding protein(SM2011_RS25605)	Sinorhizobium meliloti 2011	
SM_B20095	thiamine pyrophosphate-dependent enzyme(SM2011_RS07050)	Sinorhizobium meliloti 2011	
SM_B20617	thiazole synthase(SM2011_RS14100)	Sinorhizobium meliloti 2011	
SMC00966	thiolase family protein(SM2011_RS18830)	Sinorhizobium meliloti 2011	
SMC00984	threonylcarbamoyl-AMP synthase(SM2011_RS18735)	Sinorhizobium meliloti 2011	
SMC02736	thymidine kinase(SM2011_RS26575)	Sinorhizobium meliloti 2011	
SMC04122	thymidine phosphorylase(deoA)	Sinorhizobium meliloti 2011	
SMC01444	thymidylate synthase(SM2011_RS25210)	Sinorhizobium meliloti 2011	
SMC02660	toxin-activating lysine-acyltransferase(SM2011_RS19925)	Sinorhizobium meliloti 2011	
SMC00225	trans-aconitate 2-methyltransferase(tam)	Sinorhizobium meliloti 2011	
SMC00269	transketolase family protein(SM2011_RS23010)	Sinorhizobium meliloti 2011	
SMC00270	transketolase(SM2011_RS23015)	Sinorhizobium meliloti 2011	
SMC03978	transketolase(tkt)	Sinorhizobium meliloti 2011	
SM_B20200	transketolase(tkt)	Sinorhizobium meliloti 2011	
SMC02342	transketolase(tkt)	Sinorhizobium meliloti 2011	
SMA1478	trimethylamine methyltransferase family protein(SM2011_RS04060)	Sinorhizobium meliloti 2011	
SM_B21178	trimethylamine methyltransferase family protein(SM2011_RS10845)	Sinorhizobium meliloti 2011	
SMC00886	trimethylamine methyltransferase family protein(SM2011_RS18490)	Sinorhizobium meliloti 2011	
SMC04330	trimethylamine methyltransferase family protein(SM2011_RS24425)	Sinorhizobium meliloti 2011	
SMC04446	two-component system sensor histidine kinase ChvG(chvG)	Sinorhizobium meliloti 2011	
SMC00129	two-component system sensor histidine kinase FeuQ(feuQ)	Sinorhizobium meliloti 2011	
SMA1968	type 1 glutamine amidotransferase domain-containing protein(SM2011_RS05440)	Sinorhizobium meliloti 2011	
SMA1969	type 1 glutamine amidotransferase domain-containing protein(SM2011_RS05445)	Sinorhizobium meliloti 2011	
SMC02567	type I pantothenate kinase(coaA)	Sinorhizobium meliloti 2011	
SMC02273	type I polyketide synthase(SM2011_RS17240)	Sinorhizobium meliloti 2011	
SMC02296	type I restriction-modification system subunit M(SM2011_RS17355)	Sinorhizobium meliloti 2011	
SMC00387	tyrosine aminotransferase(tatA)	Sinorhizobium meliloti 2011	
SM_B21240	tyrosine-protein kinase domain-containing protein(SM2011_RS10360)	Sinorhizobium meliloti 2011	
SMC01792	undecaprenyl-phosphate glucose phosphotransferase(SM2011_RS20585)	Sinorhizobium meliloti 2011	
SMC01866	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase(murG)	Sinorhizobium meliloti 2011	
SMC04121	uracil phosphoribosyltransferase(upp)	Sinorhizobium meliloti 2011	
SMC02375	uracil-DNA glycosylase(SM2011_RS19565)	Sinorhizobium meliloti 2011	
SMC04284	uroporphyrinogen-III C-methyltransferase(cobA)	Sinorhizobium meliloti 2011	
SMC00945	xanthine phosphoribosyltransferase(gpt)	Sinorhizobium meliloti 2011	
