sample,id_gene,camp_lodi,camp_lut,camp_verb,lodi_lut,lodi_verb,lut verb
270,SM_b20100,,,,,,
271,SM_b20170,,,,,,
272,SM_b20194,,,,,,
273,SM_b20195,,,,,,
274,SM_b20196,,,,,,
275,SM_b20197,,,,,,
276,SM_b20198,,,,,,
277,SM_b20199,,,,,,
278,SM_b20200,,,,,,
279,SM_b20201,,,,,,
280,SM_b20202,,,,,,
281,SM_b20347,,,,,,
282,SM_b20359,,,,,,
283,SM_b20360,,,,,,
284,SM_b20495,,,,,,
285,SM_b20551,,,,,,
286,SM_b21096,,,,,,
287,SM_b21132,,,,,,
288,SM_b21133,,,,,,
289,SM_b21221,,,,,,
290,SM_b21257,,,,,,
291,SM_b21277,,,,,,
292,SM_b21284,,,,,,
293,SM_b21287,,,,,,
294,SM_b21294,,,,,,
295,SM_b21295,,,,,,
296,SM_b21174,,,,,,
297,SM_b21175,,,,,,
298,SM_b21176,,,,,,
299,SM_b21177,,,,,,
300,SM_b21188,,,,,,
301,SM_b21189,,,,,,
302,SM_b21190,,,,,,
303,SM_b21191,,,,,,
304,SM_b21207,,,,,,
305,SM_b21208,,,,,,
306,SM_b21346,,,,,,
307,SM_b21377,,,,,,
308,SM_b21556,,,,,,
309,SM_b21558,,,,,,
310,SM_b21566,,,,,,
311,SM_b22023,,,,,,
312,SM_b20943,,,,,,
313,SM_b20944,,,,,,
314,SM_b20946,,,,,,
315,SM_b20948,,,,,,
316,SM_b20954,,,,,,
317,SM_b20955,,,,,,
318,SM_b20956,,,,,,
319,SM_b20957,,,,,,
320,SM_b20958,,,,,,
321,SM_b20959,,,,,,
322,SM_b20960,,,,,,
323,SM_b20961,,,,,,
324,SM_b20991,,,,,,
325,SM_b20992,,,,,,
326,SM_b20846,,,,,,
327,SM_b20909,,,,,,
328,SM_b20910,,,,,,
329,SM_b21438,,,,,,
330,SM_b21440,,,,,,
331,SM_b21487,,,,,,
332,SM_b21488,,,,,,
333,SM_b21489,,,,,,
334,SM_b22024,,,,,,
335,SM_b21490,,,,,,
336,SM_b21494,,,,,,
337,SM_b21505,,,,,,
338,SM_b20647,,,,,,
339,SM_b20661,,,,,,
340,SM_b20705,,,,,,
341,SM_b20724,,,,,,
342,SM_b20725,,,,,,
343,SM_b20726,,,,,,
344,SM_b20748,,,,,,
345,SM_b20573,,,,,,
346,SM_b20600,,,,,,
347,SM_b20604,,,,,,
348,SM_b20605,,,,,,
349,SM_b20611,,,,,,
350,SMa0007,,,,,,
351,SMa0142,,,,,,
352,SMa0175,,,,,,
353,SMa0312,,,,,,
354,SMa0314,,,,,,
355,SMa0316,,,,,,
356,SMa0329,,,,,,
357,SMa0592,,,,,,
358,SMa0604,,,,,,
359,SMa0621,,,,,,
360,SMa0630,,,,,,
361,SMa0631,,,,,,
362,SMa0633,,,,,,
363,SMa0636,,,,,,
364,SMa0661,,,,,,
365,SMa0667,,,,,,
366,SMa0669,,,,,,
367,SMa0670,,,,,,
368,SMa0675,,,,,,
369,SMa0677,,,,,,
370,SMa0678,,,,,,
371,SMa0680,,,,,,
372,SMa0682,,,,,,
373,SMa0684,,,,,,
374,SMa0687,,,,,,
375,SMa0689,,,,,,
376,SMa0690,,,,,,
377,SMa0693,,,,,,
378,SMa0695,,,,,,
379,SMa0697,,,,,,
380,SMa0699,,,,,,
381,SMa0744,,,,,,
382,SMa0745,,,,,,
383,SMa0760,,,,,,
384,SMa0762,,,,,,
385,SMa0763,,,,,,
386,SMa0765,,,,,,
387,SMa0766,,,,,,
388,SMa0769,,,,,,
389,SMa0771,,,,,,
390,SMa0772,,,,,,
391,SMa0773,,,,,,
392,SMa0814,,,,,,
393,SMa0815,,,,,,
394,SMa0849,,,,,,
395,SMa0855,,,,,,
396,SMa0892,,,,,,
397,SMa1073,,,,,,
398,SMa1076,,,,,,
399,SMa1077,,,,,,
400,SMa1078,,,,,,
401,SMa1082,,,,,,
402,SMa1084,,,,,,
403,SMa1086,,,,,,
404,SMa1087,,,,,,
405,SMa1089,,,,,,
406,SMa1091,,,,,,
407,SMa1093,,,,,,
408,SMa1095,,,,,,
409,SMa1096,,,,,,
410,SMa1100,,,,,,
411,SMa1101,,,,,,
412,SMa1118,,,,,,
413,SMa1120,,,,,,
414,SMa1122,,,,,,
415,SMa1124,,,,,,
416,SMa1126,,,,,,
417,SMa1128,,,,,,
418,SMa1131,,,,,,
419,SMa1132,,,,,,
420,SMa1134,,,,,,
421,SMa1136,,,,,,
422,SMa1146,,,,,,
423,SMa1147,,,,,,
424,SMa1149,,,,,,
425,SMa1151,,,,,,
426,SMa1153,,,,,,
427,SMa1154,,,,,,
428,SMa1155,,,,,,
429,SMa1156,,,,,,
430,SMa1158,,,,,,
431,SMa1163,,,,,,
432,SMa1166,,,,,,
433,SMa1168,,,,,,
434,SMa1169,,,,,,
435,SMa1170,,,,,,
436,SMa1176,,,,,,
437,SMa1178,,,,,,
438,SMa1179,,,,,,
439,SMa1182,,,,,,
440,SMa1183,,,,,,
441,SMa1184,,,,,,
442,SMa1185,,,,,,
443,SMa1186,,,,,,
444,SMa1194,,,,,,
445,SMa1195,,,,,,
446,SMa1198,,,,,,
447,SMa1200,,,,,,
448,SMa1201,,,,,,
449,SMa1207,,,,,,
450,SMa1209,,,,,,
451,SMa1210,,,,,,
452,SMa1211,,,,,,
453,SMa1213,,,,,,
454,SMa1216,,,,,,
455,SMa1220,,,,,,
456,SMa1223,,,,,,
457,SMa1225,,,,,,
458,SMa1226,,,,,,
459,SMa1231,,,,,,
460,SMa1232,,,,,,
461,SMa1233,,,,,,
462,SMa1236,,,,,,
463,SMa1239,,,,,,
464,SMa1240,,,,,,
465,SMa1241,,,,,,
466,SMa1243,,,,,,
467,SMa1247,,,,,,
468,SMa1250,,,,,,
469,SMa1252,,,,,,
470,SMa1253,,,,,,
471,SMa1255,,,,,,
472,SMa1256,,,,,,
473,SMa1259,,,,,,
474,SMa1261,,,,,,
475,SMa1266,,,,,,
476,SMa1269,,,,,,
477,SMa1272,,,,,,
478,SMa1273,,,,,,
479,SMa1276,,,,,,
480,SMa1279,,,,,,
481,SMa1283,,,,,,
482,SMa1285,,,,,,
483,SMa1288,,,,,,
484,SMa1289,,,,,,
485,SMa1291,,,,,,
486,SMa1292,,,,,,
487,SMa1294,,,,,,
488,SMa1296,,,,,,
489,SMa1377,,,,,,
490,SMa1379,,,,,,
491,SMa5031,,,,,,
492,SMa1386,,,,,,
493,SMa1495,,,,,,
494,SMa1587,,,,,,
495,SMa1747,,,,,,
496,SMa1750,,,,,,
497,SMa1809,,,,,,
498,SMa1811,,,,,,
499,SMa1819,,,,,,
500,SMa1820,,,,,,
501,SMa1821,,,,,,
502,SMa1822,,,,,,
503,SMa2034,,,,,,
504,SMa2037,,,,,,
505,SMa5011,,,,,,
506,SMa2337,,,,,,
507,SMa2400,,,,,,
508,SMa2402,,,,,,
509,SMa2404,,,,,,
510,SMa2406,,,,,,
511,SMa2408,,,,,,
512,SMa2410,,,,,,
513,SMa2414,,,,,,
514,SMa2339,,,,,,
515,SMa2347,,,,,,
516,SMa2379,,,,,,
517,SMc01159,,,,,,
518,SMc02254,,,,,,
519,SMc02255,,,,,,
520,SMc00912,,,,,,
521,SMc00092,,,,,,
522,SMc00105,,,,,,
523,SMc02545,,,,,,
524,SMc01030,,,,,,
525,SMc01169,,,,,,
526,SMc04452,,,,,,
527,SMc01652,,,,,,
528,SMc02350,,,,,,
529,SMc00640,,,,,,
530,SMc03201,,,,,,
531,SMc03211,,,,,,
532,SMc03137,,,,,,
533,SM_b20019,,,,,,
534,SM_b20020,,,,,,
535,SM_b21284,,,,,,
536,SM_b21292,,,,,,
537,SM_b21691,,,,,,
538,SMa0677,,,,,,
539,SMa0678,,,,,,
540,SMa0687,,,,,,
541,SMa0697,,,,,,
542,SMa0699,,,,,,
543,SMa0745,,,,,,
544,SMa0771,,,,,,
545,SMa0814,,,,,,
546,SMa1185,,,,,,
547,SMa1186,,,,,,
548,SMa1188,,,,,,
549,SMc02178,,,,,,
550,SMc02240,,,,,,
551,SMc00591,,,,,,
552,SMc04288,,,,,,
553,SMc04290,,,,,,
554,SMc04293,,,,,,
555,SMc04294,,,,,,
556,SMc04301,,,,,,
557,SMc01592,,,,,,
558,SMc02346,,,,,,
559,SMc02350,,,,,,
560,SMc03167,,,,,,
561,SMc03168,,,,,,
562,SMc02513,,,,,,
563,SMc03824,,,,,,
564,SM_b21281,,,,,,
565,SM_b21284,,,,,,
566,SM_b21285,,,,,,
567,SM_b20724,,,,,,
568,SM_b20725,,,,,,
569,SM_b20726,,,,,,
570,SM_b21691,,,,,,
571,SMa0101,,,,,,
572,SMa0104,,,,,,
573,SMa0850,,,,,,
574,SMa0851,,,,,,
575,SMa0852,,,,,,
576,SMa0853,,,,,,
577,SMa0863,,,,,,
578,SMa0864,,,,,,
