camp_lodi,camp_lut,camp_verb,lodi_lut,lodi_verb,lut_verb
SMc03968,SMc01300,SMa1386,SMc00147,SMc01321,SMa5031
SM_b21096,SMc03050,SMc03859,SMc01310,SMc02050,SMc01306
SMc02443,SMa1377,SMc00324,SMc01294,SMc02857,SMc04040
SMc01756,SMc01294,SMc01295,SMc01293,SMc00975,SMa0745
SM_b20705,SMc01092,SMc00399,SMc04040,SMc00908,SMc02692
SMc02735,SMc01306,SMc00815,SMc01306,SMa0849,SMc02171
SMa1386,SMc01302,SMc02061,SMc03023,SMc03968,SMc03023
SMc01106,SMc03023,SMc00567,SMc01309,SMc04059,SMc00620
SMc01804,SM_b21566,SMc01308,SM_b20705,SMc01720,SMc01333
SMc01293,SMa1386,SMc01299,SMc01314,SMc03006,SMc00620
SMc01309,SMc01142,SMc01308,SMc02100,SMc02100,SMc00975
SMc03006,SM_b21208,SMc02471,SMc01321,SMc03242,SMc01720
SMc01321,SMc01298,SMc01095,SMc00620,SMc01312,SM_b21566
SMc00815,SMa0744,SMc01869,SMc02171,SMc02061,SMc02911
SMc00335,SMc00815,SMc01313,SMc02050,SM_b21438,SMc03242
SMc00320,SMc01302,SMc00638,SMc02857,SMc01297,SM_b21438
SMc01465,SMc02101,,SMc01333,SMc02868,SMc01312
SMc01301,SMc01547,,SMa0849,SMc01295,SMc01294
SMc01308,,,SMc00908,SM_b20705,SMc02061
SMc01542,,,SM_b21566,SMc03012,SMc02868
,,,SMc03968,SMc01291,SMc01295
,,,SMc00620,SMc03859,SMc01306
,,,SMc03006,SMc02443,
,,,SMc02911,,
,,,SMc04059,,
,,,SMc02100,,
