camp_lodi,camp_verb,lodi_verb
SinmeB_1409,SinmeB_0380,SinmeB_1759
SinmeB_6564,SinmeB_2046,SinmeB_3031
SinmeB_0352,SinmeB_3874,SinmeB_0825
SinmeB_1908,SinmeB_4306,SinmeB_1391
SinmeB_3883,SinmeB_1557,SinmeB_1826
SinmeB_0635,SinmeB_2728,SinmeB_2017
SinmeB_0538,SinmeB_1052,SinmeB_0214
SinmeB_1748,SinmeB_1144,SinmeB_1971
SinmeB_1082,SinmeB_3697,SinmeB_5280
SinmeB_1971,SinmeB_0934,SinmeB_4189
SinmeB_6269,SinmeB_0669,SinmeB_2214
SinmeB_5280,SinmeB_2256,SinmeB_0380
SinmeB_4190,SinmeB_1024,SinmeB_2046
SinmeB_1455,SinmeB_3791,SinmeB_1557
SinmeB_1575,SinmeB_1249,SinmeB_2728
SinmeB_3874,SinmeB_3801,SinmeB_1850
SinmeB_4306,SinmeB_1849,SinmeB_1611
SinmeB_1850,SinmeB_1213,SinmeB_4646
SinmeB_1611,SinmeB_3549,SinmeB_1052
SinmeB_4646,SinmeB_4328,SinmeB_1144
SinmeB_1776,SinmeB_2255,SinmeB_1776
SinmeB_2248,SinmeB_6024,SinmeB_3697
SinmeB_1235,SinmeB_2047,SinmeB_0934
SinmeB_1054,SinmeB_2448,SinmeB_2248
SinmeB_2256,SinmeB_1610,SinmeB_0669
SinmeB_1585,SinmeB_1053,SinmeB_1235
SinmeB_0709,SinmeB_5352,SinmeB_1054
SinmeB_1456,SinmeB_5353,SinmeB_1024
SinmeB_2252,SinmeB_2250,SinmeB_1585
SinmeB_1849,SinmeB_6196,SinmeB_3791
SinmeB_2047,SinmeB_6358,SinmeB_0709
SinmeB_2257,SinmeB_1454,SinmeB_1249
SinmeB_1419,SinmeB_3792,SinmeB_1456
SinmeB_1610,SinmeB_6268,SinmeB_2252
SinmeB_1053,SinmeB_1604,SinmeB_3801
SinmeB_5353,SinmeB_6237,SinmeB_1213
SinmeB_6196,SinmeB_1206,SinmeB_3549
SinmeB_0728,SinmeB_1058,SinmeB_4328
SinmeB_3792,SinmeB_2251,SinmeB_2255
SinmeB_5276,SinmeB_0726,SinmeB_6024
