sample,id_gene,camp_lodi,camp_lut,camp_verb,lodi_lut,lodi_verb,lut_verb
256,SinmeB_1397,1122,137,1650,252,332,1705
257,SinmeB_1399,1623,378,1302,1623,658,974
258,SinmeB_1403,1709,152,974,514,1755,1642
259,SinmeB_1406,514,499,1705,1429,527,1098
260,SinmeB_1407,1650,53,1612,55,679,1621
261,SinmeB_1408,1302,1596,1464,89,115,56
262,SinmeB_1409,1429,276,1642,1700,902,1259
263,SinmeB_1411,89,118,1621,287,1267,1451
264,SinmeB_1414,1700,1431,1484,1098,157,581
265,SinmeB_1415,287,1478,56,1259,2040,562
266,SinmeB_1416,1612,105,581,82,1122,645
267,SinmeB_1419,1464,1470,562,1451,414,515
268,SinmeB_1427,1484,1651,106,107,454,378
269,SinmeB_1430,82,1215,1618,645,1623,1447
270,SinmeB_1431,107,1194,73,515,375,152
271,SinmeB_1434,1618,1649,1447,378,514,1378
272,SinmeB_1440,106,848,137,155,1099,499
273,SinmeB_1454,73,497,1378,152,974,147
274,SinmeB_1455,137,1115,147,499,1429,1078
275,SinmeB_1456,155,1150,1078,1671,1705,433
276,SinmeB_1459,1596,148,53,1485,89,276
277,SinmeB_1461,1671,1754,1596,276,1700,1487
278,SinmeB_1464,53,1776,433,587,287,105
279,SinmeB_1470,1485,1348,118,525,1621,1475
280,SinmeB_1471,118,586,1431,105,1642,1422
281,SinmeB_1474,587,1482,1487,1651,56,1695
282,SinmeB_1475,525,149,1478,1649,82,1651
283,SinmeB_1479,1431,1397,1470,1489,581,1649
284,SinmeB_1480,1478,156,1422,1474,107,1652
285,SinmeB_1481,1470,1459,1475,1115,562,1115
286,SinmeB_1482,1215,326,1695,151,1447,1611
287,SinmeB_1483,1194,1905,1215,1456,155,488
288,SinmeB_1484,1489,101,1194,66,1078,1469
289,SinmeB_1485,848,619,1652,1710,1378,1482
290,SinmeB_1490,497,622,848,1482,147,149
291,SinmeB_1495,1474,1490,497,149,1671,156
292,SinmeB_1497,1754,21,1150,1151,1485,1477
293,SinmeB_1498,1150,1425,1754,575,433,1614
294,SinmeB_1499,148,884,148,1923,587,101
295,SinmeB_1502,1776,1749,1611,1778,525,1617
296,SinmeB_1504,151,676,488,156,1487,622
297,SinmeB_1511,1456,2072,1776,2073,1422,153
298,SinmeB_1512,66,1879,1348,101,1695,1490
299,SinmeB_1523,1348,1455,1469,622,1475,1425
300,SinmeB_1524,586,1454,586,1425,1652,1749
301,SinmeB_1525,1710,1382,1397,1490,1489,1491
302,SinmeB_1528,1151,1423,1459,1749,1474,1525
303,SinmeB_1532,1397,447,326,138,1611,1454
304,SinmeB_1533,1459,1622,1905,1454,488,140
305,SinmeB_1547,575,81,1477,1382,151,585
306,SinmeB_1550,1778,1419,1614,83,1456,904
307,SinmeB_1553,1923,1608,619,1673,1469,1382
308,SinmeB_1556,326,584,1617,1608,66,1539
309,SinmeB_1557,1905,83,884,940,1710,529
310,SinmeB_1559,2073,1288,153,584,1151,512
311,SinmeB_1560,619,1449,21,1460,1778,83
312,SinmeB_1561,884,451,676,1449,1923,1608
313,SinmeB_1562,676,1323,1491,1323,575,1603
314,SinmeB_1566,21,1486,1525,1444,2073,1235
315,SinmeB_1570,2072,1653,2072,1486,1477,584
316,SinmeB_1571,1455,939,1879,1619,1614,1757
317,SinmeB_1572,1879,2039,1455,1677,1617,1449
318,SinmeB_1575,138,1442,585,1661,153,700
319,SinmeB_1576,1423,1662,140,1615,1491,1323
320,SinmeB_1582,1622,1473,904,1097,1525,1486
321,SinmeB_1583,447,1462,1423,1442,138,1458
322,SinmeB_1584,81,2041,1539,1662,585,1472
323,SinmeB_1585,1673,1421,529,1437,904,1442
324,SinmeB_1590,940,1537,447,1536,1539,1662
325,SinmeB_1592,1419,1495,1622,2041,140,2042
326,SinmeB_1593,1460,648,81,1395,529,1403
327,SinmeB_1594,1288,36,512,1421,512,1784
328,SinmeB_1602,451,652,1419,1516,940,2041
329,SinmeB_1604,1444,150,1603,952,1757,1289
330,SinmeB_1610,1619,1141,1235,1915,1673,1553
331,SinmeB_1611,1653,513,1757,1537,1460,1421
332,SinmeB_1624,1677,594,1288,1495,1603,950
333,SinmeB_1635,1615,1087,700,1578,1235,1239
334,SinmeB_1636,2039,1775,451,1061,700,1140
335,SinmeB_1637,1661,427,1458,1806,1458,755
336,SinmeB_1638,939,1506,1653,1035,1444,1107
337,SinmeB_1646,1097,2015,2039,797,1619,998
338,SinmeB_1650,1437,1058,939,922,1677,1537
339,SinmeB_1654,1473,1750,1472,1318,1615,1495
340,SinmeB_1668,1462,9,2042,1719,1661,799
341,SinmeB_1674,1536,1457,1473,1441,1472,18
342,SinmeB_1677,1395,1299,1462,1319,1097,1509
343,SinmeB_1681,1516,1656,1403,1775,1437,966
344,SinmeB_1682,648,1201,1553,440,2042,537
345,SinmeB_1683,652,1743,648,698,1403,1761
346,SinmeB_1684,36,1280,652,1126,1536,1775
347,SinmeB_1685,427,613,36,1492,1395,570
348,SinmeB_1686,150,551,150,1665,1516,1014
349,SinmeB_1687,1319,1113,427,1597,1553,630
350,SinmeB_1688,440,524,1509,2055,1509,1630
351,SinmeB_1689,1492,1498,630,845,440,954
352,SinmeB_1690,1597,605,1784,1457,1319,1457
