sample,id_gene,camp_lodi,camp_lut,camp_verb,lodi_lut,lodi_verb,lut verb
208,SM2011_c04277,,,,,,
209,SM2011_c04307,,,,,,
210,SM2011_c04325,,,,,,
211,SM2011_c04336,,,,,,
212,SM2011_c04165,,,,,,
213,SM2011_c04171,,,,,,
214,SM2011_c04172,,,,,,
215,SM2011_c04180,,,,,,
216,SM2011_c04182,,,,,,
217,SM2011_c04183,,,,,,
218,SM2011_c04186,,,,,,
219,SM2011_c04187,,,,,,
220,SM2011_c04207,,,,,,
221,SM2011_c04319,,,,,,
222,SM2011_c04321,,,,,,
223,SM2011_c04346,,,,,,
224,SM2011_c01488,,,,,,
225,SM2011_c01428,,,,,,
226,SM2011_c01448,,,,,,
227,SM2011_c01449,,,,,,
228,SM2011_c01459,,,,,,
229,SM2011_c01467,,,,,,
230,SM2011_c01468,,,,,,
231,SM2011_c01469,,,,,,
232,SM2011_c01843,,,,,,
233,SM2011_c04454,,,,,,
234,SM2011_c01597,,,,,,
235,SM2011_c01657,,,,,,
236,SM2011_c01549,,,,,,
237,SM2011_c01563,,,,,,
238,SM2011_c01591,,,,,,
239,SM2011_c02692,,,,,,
240,SM2011_c02695,,,,,,
241,SM2011_c01509,,,,,,
242,SM2011_c01504,,,,,,
243,SM2011_c01501,,,,,,
244,SM2011_c01500,,,,,,
245,SM2011_c01499,,,,,,
246,SM2011_c01819,,,,,,
247,SM2011_c01981,,,,,,
248,SM2011_c01982,,,,,,
249,SM2011_c01983,,,,,,
250,SM2011_c01985,,,,,,
251,SM2011_c02019,,,,,,
252,SM2011_c02344,,,,,,
253,SM2011_c02345,,,,,,
254,SM2011_c02346,,,,,,
255,SM2011_c02349,,,,,,
256,SM2011_c02350,,,,,,
257,SM2011_c02433,,,,,,
258,SM2011_c02436,,,,,,
259,SM2011_c02450,,,,,,
260,SM2011_c00739,,,,,,
261,SM2011_c00737,,,,,,
262,SM2011_c00736,,,,,,
263,SM2011_c00703,,,,,,
264,SM2011_c00676,,,,,,
265,SM2011_c03969,,,,,,
266,SM2011_c03970,,,,,,
267,SM2011_c03971,,,,,,
268,SM2011_c03972,,,,,,
269,SM2011_c03987,,,,,,
270,SM2011_c03998,,,,,,
271,SM2011_c03999,,,,,,
272,SM2011_c04009,,,,,,
273,SM2011_c04014,,,,,,
274,SM2011_c04034,,,,,,
275,SM2011_c04040,,,,,,
276,SM2011_c04059,,,,,,
277,SM2011_c03172,,,,,,
278,SM2011_c03197,,,,,,
279,SM2011_c03112,,,,,,
280,SM2011_c03107,,,,,,
281,SM2011_c03103,,,,,,
282,SM2011_c02512,,,,,,
283,SM2011_c02511,,,,,,
284,SM2011_c02500,,,,,,
285,SM2011_c02486,,,,,,
286,SM2011_c02485,,,,,,
287,SM2011_c02483,,,,,,
288,SM2011_c02482,,,,,,
289,SM2011_c02481,,,,,,
290,SM2011_c02480,,,,,,
291,SM2011_c02479,,,,,,
292,SM2011_c03244,,,,,,
293,SM2011_c03251,,,,,,
294,SM2011_c03252,,,,,,
295,SM2011_c03253,,,,,,
296,SM2011_c06990,,,,,,
297,SM2011_c03282,,,,,,
298,SM2011_c03770,,,,,,
299,SM2011_c03772,,,,,,
300,SM2011_c03773,,,,,,
301,SM2011_c03814,,,,,,
302,SM2011_c03818,,,,,,
303,SM2011_c03844,,,,,,
304,SM2011_c03858,,,,,,
305,SM2011_c03859,,,,,,
306,SM2011_c03863,,,,,,
307,SM2011_c03876,,,,,,
308,SM2011_c03877,,,,,,
309,SM2011_c03881,,,,,,
310,SM2011_c04088,,,,,,
311,SM2011_b20018,,,,,,
312,SM2011_b20047,,,,,,
313,SM2011_b20049,,,,,,
314,SM2011_b20106,,,,,,
315,SM2011_b20140,,,,,,
316,SM2011_b20143,,,,,,
317,SM2011_b20164,,,,,,
318,SM2011_b20167,,,,,,
319,SM2011_b20171,,,,,,
320,SM2011_b20186,,,,,,
321,SM2011_b20205,,,,,,
322,SM2011_b20214,,,,,,
323,SM2011_b20246,,,,,,
324,SM2011_b20251,,,,,,
325,SM2011_b20313,,,,,,
326,SM2011_b20338,,,,,,
327,SM2011_b20359,,,,,,
328,SM2011_b20375,,,,,,
329,SM2011_b20454,,,,,,
330,SM2011_b20467,,,,,,
331,SM2011_b20477,,,,,,
332,SM2011_b20843,,,,,,
333,SM2011_b21017,,,,,,
334,SM2011_b22010,,,,,,
335,SM2011_b21097,,,,,,
336,SM2011_b21113,,,,,,
337,SM2011_b21132,,,,,,
338,SM2011_b21133,,,,,,
339,SM2011_b21241,,,,,,
340,SM2011_b21245,,,,,,
341,SM2011_b21252,,,,,,
342,SM2011_b21289,,,,,,
343,SM2011_b21294,,,,,,
344,SM2011_b21298,,,,,,
345,SM2011_b21143,,,,,,
346,SM2011_b21145,,,,,,
347,SM2011_b21183,,,,,,
348,SM2011_b21212,,,,,,
349,SM2011_b21314,,,,,,
350,SM2011_b21356,,,,,,
351,SM2011_b21362,,,,,,
352,SM2011_b21377,,,,,,
353,SM2011_b21590,,,,,,
354,SM2011_b21597,,,,,,
355,SM2011_b20938,,,,,,
356,SM2011_b20939,,,,,,
357,SM2011_b20940,,,,,,
358,SM2011_b20954,,,,,,
359,SM2011_b20955,,,,,,
360,SM2011_b20956,,,,,,
361,SM2011_b20957,,,,,,
362,SM2011_b20960,,,,,,
363,SM2011_b20961,,,,,,
364,SM2011_b20975,,,,,,
365,SM2011_b20991,,,,,,
366,SM2011_b20992,,,,,,
367,SM2011_b20846,,,,,,
368,SM2011_b21676,,,,,,
369,SM2011_b20859,,,,,,
370,SM2011_b20872,,,,,,
371,SM2011_b21403,,,,,,
372,SM2011_b21418,,,,,,
373,SM2011_b21445,,,,,,
374,SM2011_b21456,,,,,,
375,SM2011_b21470,,,,,,
376,SM2011_b21480,,,,,,
377,SM2011_b21481,,,,,,
378,SM2011_b21486,,,,,,
379,SM2011_b21488,,,,,,
380,SM2011_b21493,,,,,,
381,SM2011_b21498,,,,,,
382,SM2011_b20647,,,,,,
383,SM2011_b20704,,,,,,
384,SM2011_b20724,,,,,,
385,SM2011_b20725,,,,,,
386,SM2011_b20726,,,,,,
387,SM2011_b20745,,,,,,
388,SM2011_b20748,,,,,,
389,SM2011_b20786,,,,,,
390,SM2011_b20570,,,,,,
391,SM2011_b20571,,,,,,
392,SM2011_b21691,,,,,,
393,SM2011_b20573,,,,,,
394,SM2011_b20575,,,,,,
395,SM2011_b20600,,,,,,
396,SM2011_b20615,,,,,,
397,SM2011_b20617,,,,,,
398,SinmeB_5077,,,,,,
399,SinmeB_5082,,,,,,
400,SinmeB_5087,,,,,,
401,SinmeB_5153,,,,,,
402,SinmeB_5173,,,,,,
403,SinmeB_5224,,,,,,
404,SinmeB_5230,,,,,,
405,SinmeB_5232,,,,,,
406,SinmeB_5262,,,,,,
407,SinmeB_5276,,,,,,
408,SinmeB_5290,,,,,,
409,SinmeB_5316,,,,,,
410,SinmeB_5322,,,,,,
411,SinmeB_5323,,,,,,
412,SinmeB_5359,,,,,,
413,SinmeB_5388,,,,,,
414,SinmeB_5456,,,,,,
415,SinmeB_5467,,,,,,
416,SinmeB_5478,,,,,,
417,SinmeB_5501,,,,,,
418,SinmeB_5527,,,,,,
419,SinmeB_5536,,,,,,
420,SinmeB_5539,,,,,,
421,SinmeB_5627,,,,,,
422,SinmeB_5643,,,,,,
423,SinmeB_5644,,,,,,
424,SinmeB_5645,,,,,,
425,SinmeB_5646,,,,,,
426,SinmeB_5649,,,,,,
427,SinmeB_5650,,,,,,
428,SinmeB_5652,,,,,,
429,SinmeB_5659,,,,,,
430,SinmeB_5716,,,,,,
431,SinmeB_5728,,,,,,
432,SinmeB_5731,,,,,,
433,SinmeB_5733,,,,,,
434,SinmeB_5740,,,,,,
435,SinmeB_5742,,,,,,
436,SinmeB_5743,,,,,,
437,SinmeB_5747,,,,,,
438,SinmeB_5749,,,,,,
439,SinmeB_5759,,,,,,
440,SinmeB_5760,,,,,,
441,SinmeB_5777,,,,,,
442,SinmeB_5822,,,,,,
443,SinmeB_5823,,,,,,
444,SinmeB_5824,,,,,,
445,SinmeB_5825,,,,,,
446,SinmeB_5826,,,,,,
447,SinmeB_5827,,,,,,
448,SinmeB_5985,,,,,,
449,SinmeB_5988,,,,,,
450,SinmeB_5989,,,,,,
451,SinmeB_5991,,,,,,
452,SinmeB_6008,,,,,,
453,SinmeB_6015,,,,,,
454,SinmeB_6033,,,,,,
455,SinmeB_6060,,,,,,
456,SinmeB_6145,,,,,,
457,SinmeB_6146,,,,,,
458,SinmeB_6147,,,,,,
459,SinmeB_6148,,,,,,
460,SinmeB_6149,,,,,,
461,SinmeB_6151,,,,,,
462,SinmeB_6157,,,,,,
463,SinmeB_6158,,,,,,
464,SinmeB_6159,,,,,,
465,SinmeB_6160,,,,,,
466,SinmeB_6161,,,,,,
467,SinmeB_6163,,,,,,
468,SinmeB_6164,,,,,,
469,SinmeB_6165,,,,,,
470,SinmeB_6166,,,,,,
471,SinmeB_6168,,,,,,
472,SinmeB_6169,,,,,,
473,SinmeB_6172,,,,,,
474,SinmeB_6175,,,,,,
475,SinmeB_6182,,,,,,
476,SinmeB_6186,,,,,,
477,SinmeB_6189,,,,,,
478,SinmeB_6190,,,,,,
479,SinmeB_6195,,,,,,
480,SinmeB_6196,,,,,,
481,SinmeB_6197,,,,,,
482,SinmeB_6201,,,,,,
483,SinmeB_6203,,,,,,
484,SinmeB_6204,,,,,,
485,SinmeB_6206,,,,,,
486,SinmeB_6211,,,,,,
487,SinmeB_6218,,,,,,
488,SinmeB_6220,,,,,,
489,SinmeB_6269,,,,,,
490,SinmeB_6271,,,,,,
491,SinmeB_6285,,,,,,
492,SinmeB_6291,,,,,,
493,SinmeB_6305,,,,,,
494,SinmeB_6313,,,,,,
495,SinmeB_6360,,,,,,
496,SinmeB_6430,,,,,,
497,SinmeB_6473,,,,,,
498,SinmeB_6528,,,,,,
499,SinmeB_6531,,,,,,
500,SinmeB_6532,,,,,,
501,SinmeB_6618,,,,,,
502,SinmeB_6622,,,,,,
503,SinmeB_6676,,,,,,
504,SM2011_c02594,,,,,,
505,SM2011_c00913,,,,,,
506,SM2011_c01186,,,,,,
507,SM2011_c00953,,,,,,
508,SM2011_c04187,,,,,,
509,SM2011_c04207,,,,,,
510,SM2011_c04320,,,,,,
511,SM2011_c01448,,,,,,
512,SM2011_c02433,,,,,,
513,SM2011_c00676,,,,,,
514,SM2011_c03983,,,,,,
515,SM2011_c04014,,,,,,
516,SM2011_c04040,,,,,,
517,SM2011_c03107,,,,,,
518,SM2011_c03251,,,,,,
519,SM2011_c03252,,,,,,
520,SM2011_c06990,,,,,,
521,SM2011_b21266,,,,,,
522,SM2011_b21294,,,,,,
523,SM2011_b21295,,,,,,
524,SM2011_b21356,,,,,,
525,SM2011_b21590,,,,,,
526,SM2011_b20859,,,,,,
527,SinmeB_5077,,,,,,
528,SinmeB_5173,,,,,,
529,SinmeB_5224,,,,,,
530,SinmeB_5230,,,,,,
531,SinmeB_5232,,,,,,
532,SinmeB_5262,,,,,,
533,SinmeB_5629,,,,,,
534,SinmeB_5725,,,,,,
535,SinmeB_5743,,,,,,
536,SinmeB_5746,,,,,,
537,SinmeB_5747,,,,,,
538,SinmeB_5749,,,,,,
539,SinmeB_5759,,,,,,
540,SinmeB_5760,,,,,,
541,SinmeB_5761,,,,,,
542,SinmeB_5801,,,,,,
543,SinmeB_5805,,,,,,
544,SinmeB_5810,,,,,,
545,SinmeB_5811,,,,,,
546,SinmeB_5816,,,,,,
547,SinmeB_5817,,,,,,
548,SinmeB_5818,,,,,,
549,SinmeB_5820,,,,,,
550,SinmeB_5821,,,,,,
551,SinmeB_5822,,,,,,
552,SinmeB_5823,,,,,,
553,SinmeB_5824,,,,,,
554,SinmeB_5825,,,,,,
555,SinmeB_5826,,,,,,
556,SinmeB_5827,,,,,,
557,SinmeB_5828,,,,,,
558,SinmeB_5985,,,,,,
559,SinmeB_5988,,,,,,
560,SinmeB_5989,,,,,,
561,SinmeB_5991,,,,,,
562,SinmeB_6145,,,,,,
563,SinmeB_6146,,,,,,
564,SinmeB_6147,,,,,,
565,SinmeB_6148,,,,,,
566,SinmeB_6149,,,,,,
567,SinmeB_6151,,,,,,
568,SinmeB_6152,,,,,,
569,SinmeB_6156,,,,,,
570,SinmeB_6157,,,,,,
571,SinmeB_6158,,,,,,
572,SinmeB_6159,,,,,,
573,SinmeB_6160,,,,,,
574,SinmeB_6161,,,,,,
575,SinmeB_6163,,,,,,
576,SinmeB_6164,,,,,,
577,SinmeB_6165,,,,,,
578,SinmeB_6166,,,,,,
579,SinmeB_6168,,,,,,
580,SinmeB_6169,,,,,,
581,SinmeB_6172,,,,,,
582,SinmeB_6175,,,,,,
583,SinmeB_6182,,,,,,
584,SinmeB_6185,,,,,,
585,SinmeB_6186,,,,,,
586,SinmeB_6188,,,,,,
587,SinmeB_6189,,,,,,
588,SinmeB_6190,,,,,,
589,SinmeB_6191,,,,,,
590,SinmeB_6195,,,,,,
591,SinmeB_6196,,,,,,
592,SinmeB_6197,,,,,,
593,SinmeB_6198,,,,,,
594,SinmeB_6201,,,,,,
595,SinmeB_6203,,,,,,
596,SinmeB_6204,,,,,,
597,SinmeB_6206,,,,,,
598,SinmeB_6211,,,,,,
599,SinmeB_6269,,,,,,
600,SinmeB_6291,,,,,,
601,SinmeB_6473,,,,,,
602,SM2011_c03021,,,,,,
603,SM2011_c03027,,,,,,
604,SM2011_c03054,,,,,,
605,SM2011_c00045,,,,,,
606,SM2011_c00591,,,,,,
607,SM2011_c00948,,,,,,
608,SM2011_c00953,,,,,,
609,SM2011_c00282,,,,,,
610,SM2011_c04290,,,,,,
611,SM2011_c04293,,,,,,
612,SM2011_c04207,,,,,,
613,SM2011_c01437,,,,,,
614,SM2011_c01448,,,,,,
615,SM2011_c00736,,,,,,
616,SM2011_c00676,,,,,,
617,SM2011_c00642,,,,,,
618,SM2011_c04014,,,,,,
619,SM2011_c03167,,,,,,
620,SM2011_c03168,,,,,,
621,SM2011_c03169,,,,,,
622,SM2011_c03107,,,,,,
623,SM2011_c03252,,,,,,
624,SM2011_c06990,,,,,,
625,SM2011_c03807,,,,,,
626,SM2011_c03824,,,,,,
627,SM2011_c03825,,,,,,
628,SM2011_b20843,,,,,,
629,SM2011_b22010,,,,,,
630,SM2011_b21562,,,,,,
631,SM2011_b20859,,,,,,
632,SM2011_b21435,,,,,,
633,SM2011_b21438,,,,,,
634,SM2011_b21470,,,,,,
635,SM2011_b20724,,,,,,
636,SM2011_b20725,,,,,,
637,SM2011_b20726,,,,,,
638,SM2011_b20745,,,,,,
639,SinmeB_5077,,,,,,
640,SinmeB_5224,,,,,,
641,SinmeB_5316,,,,,,
642,SinmeB_5323,,,,,,
643,SinmeB_5629,,,,,,
644,SinmeB_5987,,,,,,
645,SinmeB_5988,,,,,,
646,SinmeB_5993,,,,,,
647,SinmeB_6024,,,,,,
648,SinmeB_6048,,,,,,
649,SinmeB_6050,,,,,,
650,SinmeB_6170,,,,,,
651,SinmeB_6171,,,,,,
652,SinmeB_6269,,,,,,
653,SinmeB_6473,,,,,,
654,SM2011_c02755,,,,,,
655,SM2011_c02582,,,,,,
656,SM2011_c02583,,,,,,
657,SM2011_c02594,,,,,,
658,SM2011_c04146,,,,,,
659,SM2011_c02857,,,,,,
660,SM2011_c02871,,,,,,
661,SM2011_c00325,,,,,,
662,SM2011_c00335,,,,,,
663,SM2011_c00345,,,,,,
664,SM2011_c00364,,,,,,
665,SM2011_c00365,,,,,,
666,SM2011_c01109,,,,,,
667,SM2011_c01104,,,,,,
668,SM2011_c01095,,,,,,
669,SM2011_c01723,,,,,,
670,SM2011_c02254,,,,,,
671,SM2011_c02277,,,,,,
672,SM2011_c02282,,,,,,
673,SM2011_c02324,,,,,,
674,SM2011_c03004,,,,,,
675,SM2011_c03007,,,,,,
676,SM2011_c03008,,,,,,
677,SM2011_c03009,,,,,,
678,SM2011_c03010,,,,,,
679,SM2011_c03012,,,,,,
680,SM2011_c03014,,,,,,
681,SM2011_c03019,,,,,,
682,SM2011_c03020,,,,,,
683,SM2011_c03021,,,,,,
684,SM2011_c03022,,,,,,
685,SM2011_c03023,,,,,,
686,SM2011_c03024,,,,,,
687,SM2011_c03025,,,,,,
688,SM2011_c03026,,,,,,
689,SM2011_c03027,,,,,,
690,SM2011_c03028,,,,,,
691,SM2011_c03029,,,,,,
692,SM2011_c03030,,,,,,
693,SM2011_c03031,,,,,,
694,SM2011_c03032,,,,,,
695,SM2011_c03033,,,,,,
696,SM2011_c03034,,,,,,
697,SM2011_c03035,,,,,,
698,SM2011_c03039,,,,,,
699,SM2011_c03040,,,,,,
700,SM2011_c03041,,,,,,
701,SM2011_c03042,,,,,,
702,SM2011_c03044,,,,,,
703,SM2011_c03046,,,,,,
704,SM2011_c03047,,,,,,
705,SM2011_c03048,,,,,,
706,SM2011_c03049,,,,,,
707,SM2011_c03050,,,,,,
708,SM2011_c03051,,,,,,
709,SM2011_c03052,,,,,,
710,SM2011_c03071,,,,,,
711,SM2011_c03072,,,,,,
712,SM2011_c03057,,,,,,
713,SM2011_c00765,,,,,,
714,SM2011_c00801,,,,,,
715,SM2011_c00815,,,,,,
716,SM2011_c00816,,,,,,
717,SM2011_c00818,,,,,,
718,SM2011_c00913,,,,,,
719,SM2011_c00912,,,,,,
720,SM2011_c00986,,,,,,
721,SM2011_c00982,,,,,,
722,SM2011_c00084,,,,,,
723,SM2011_c00088,,,,,,
724,SM2011_c00097,,,,,,
725,SM2011_c02648,,,,,,
726,SM2011_c00565,,,,,,
727,SM2011_c00611,,,,,,
728,SM2011_c01788,,,,,,
729,SM2011_c01804,,,,,,
730,SM2011_c01812,,,,,,
731,SM2011_c01907,,,,,,
732,SM2011_c01333,,,,,,
733,SM2011_c01319,,,,,,
734,SM2011_c01314,,,,,,
735,SM2011_c01313,,,,,,
736,SM2011_c01312,,,,,,
737,SM2011_c01311,,,,,,
738,SM2011_c01309,,,,,,
739,SM2011_c01308,,,,,,
740,SM2011_c01307,,,,,,
741,SM2011_c01306,,,,,,
742,SM2011_c01304,,,,,,
743,SM2011_c01302,,,,,,
744,SM2011_c01301,,,,,,
745,SM2011_c01300,,,,,,
746,SM2011_c01299,,,,,,
747,SM2011_c01297,,,,,,
748,SM2011_c01296,,,,,,
749,SM2011_c01295,,,,,,
750,SM2011_c01294,,,,,,
751,SM2011_c01293,,,,,,
752,SM2011_c01292,,,,,,
753,SM2011_c01285,,,,,,
754,SM2011_c01283,,,,,,
755,SM2011_c01010,,,,,,
756,SM2011_c02101,,,,,,
757,SM2011_c02100,,,,,,
758,SM2011_c06500,,,,,,
759,SM2011_c01242,,,,,,
760,SM2011_c01237,,,,,,
761,SM2011_c01215,,,,,,
762,SM2011_c01176,,,,,,
763,SM2011_c00953,,,,,,
