camp_lodi,camp_verb,lodi_verb
SMc01053,SM_b20098,SMa0892
SMc00591,SMc01159,SM_b20409
SMc02255,SMa0687,SMa1076
SM_b20909,SM_b20170,SMc01267
SMc03252,SM_b21132,SM_b20600
SMc00591,SMc01488,SMa1809
SMa0776,SMc02254,SMc03884
SMc01634,SMa1821,SMa2041
SMc00371,SM_b20846,SMa2414
SMa0697,SMc02349,SM_b21491
SMc00591,SMa2034,SMc03999
SMc01875,SMa0329,SMc05008
SMc01265,SMc04173,SMc02981
SM_b20946,SM_b20360,SMc04276
SMa0699,SMc03251,SMa1208
SMa1188,SMa1073,SMc00651
SMc02254,SM_b20943,SMa1819
SMa1188,SM_b20846,SMa1078
SMc04187,SMc03203,SMc01982
SM_b20096,SM_b20943,SMa2337
SMa0675,SM_b20661,SMc00591
SM_b21487,SM_b20170,SM_b21558
SMa0329,SM_b21133,SMc02255
SMc03251,SMc04292,SMc01053
SM_b21188,SMc00062,SM_b21284
SM_b21287,SMc03950,SMc00591
SM_b21487,SM_b20360,SMc03137
SMa1073,SMc02049,SM_b20909
SMa1269,SMa0142,SMc03252
SMc03203,SMa1216,SMc00105
SM_b21133,SMc01774,SMc00591
SM_b20661,SMc02349,SMa0776
SMc04292,SM_b21556,SMa0678
SMc03950,SMc00062,SMc00105
SMc03104,SMa1273,SM_b21284
SMc01265,SMc04173,SMc01634
SMc02615,SMa0604,SMc00371
SMc02049,SMc01984,SMc01875
SM_b21556,SM_b20944,SM_b21489
SMa0630,SMc02854,SMc01265
SMc00040,SMc01488,SM_b20098
SMa1213,SM_b21691,SM_b20946
SMa1240,SMa1220,SMc01159
SMc00040,SM_b21490,SMa0699
SM_b20944,SMa1587,SMa0687
SMc02854,SMc02049,SM_b20170
SMa1220,SMc04051,SM_b21132
SM_b21691,SMc01449,SMc01488
SMc00943,SMa1822,SMa1188
SM_b20611,SMc03950,SMa1188
SM_b20946,SMc01984,SMa1821
SM_b21490,SMc01022,SM_b21487
SMa1587,SM_b20944,SMa0675
SMc02049,SMc04292,SM_b20096
SMc04051,SMc04291,SM_b20846
SMc01449,SMa0621,SMc02349
SMa1822,SMa0142,SMa2034
SMc03950,SMc01449,SMc04173
SM_b20944,SMa0621,SM_b20360
SMa0621,SM_b20604,SMc04187
SMc04292,SMa1185,SM_b21487
SMc01449,SMc03137,SM_b21188
SMa0621,SM_b21190,SM_b20943
SMc03167,SMc01591,SM_b21287
SMc04444,SMc04444,SM_b20846
SMc00092,SMa2037,SMa1269
SMa2037,SM_b20661,SM_b20943
SM_b20661,SM_b20079,SM_b20170
SMa1223,SMc03167,SMc00062
SMc04051,SMc04051,SM_b20360
SM_b20573,SMa2034,SMc03104
SM_b20956,SMc04283,SMc01265
SMa1232,SMc04283,SMa0142
SMa1276,SMa1276,SMc02615
SMc04283,SMc03939,SMa1216
SMc04283,SM_b20573,SMc01774
SMc03104,SM_b21691,SMc02349
SM_b21691,SMc01022,SMc00062
SMa0675,SM_b21489,SMc03137
SMa0007,SMa1285,SMc00040
SMa0007,SMa0633,SMa1273
SMa1096,SMa0007,SMc04173
SM_b20955,SMa0007,SMa0630
SMc03789,SMc03939,SMa1213
SMc02615,SM_b20955,SMa0604
SMa1587,SMa1587,SMc01984
SMc01242,SM_b20954,SMc00040
SMc03211,SMa1292,SMa1240
SMc02854,SMc04291,SMc01488
SM_b20992,SMc02854,SM_b20946
SMc02545,SM_b20079,SM_b20611
SMc02156,SM_b20992,SMc00943
SMa1811,SMa1201,SMc01984
SM_b20100,SMc01242,SMc01022
SMc00371,SMc02545,SMc04291
SMa1232,SMa1811,SMa0142
SM_b21556,SM_b21190,SMc03211
SM_b20605,SM_b21132,SMc00092
SM_b21440,SM_b21556,SMa1185
SMc01985,SMa1253,SM_b20604
SMa1811,SMa1253,SM_b21190
SMa2037,SMa1101,SMc01591
SMa1198,SMa1226,SM_b20079
SMa1089,SMa2037,SM_b20956
SM_b20019,SMa1811,SMa1223
SMc01875,SM_b20991,SMa2034
SM_b21191,SM_b20605,SMa1232
SMa0329,SM_b21440,SMc03939
SMa1134,SMc01985,SMc03104
SMa0312,SM_b20201,SMc01022
SM_b20956,SMa0329,SMa0675
SM_b20195,SMa1089,SM_b21489
SMc00092,SM_b21191,SMa1285
SMa1207,SMa1131,SMa0633
SMc00084,SM_b20201,SMc03939
SMa1822,SMa1122,SMc02615
SMa1166,SMa1822,SM_b20954
SMa1183,SMc00084,SMc03789
SMa1084,SMa1821,SMa1292
SMa1124,SM_b20197,SMa1096
SMc03788,SMa1124,SMc04291
SM_b20611,SMa1207,SM_b20079
SMa0773,SMc03788,SMa1201
SM_b20992,SMa1216,SMc02156
SMa1495,SMa0773,SMc00371
SMc04444,SMa0604,SM_b21190
SMc03168,SM_b20992,SM_b21132
SMc03789,SMc04444,SM_b20100
SMa1247,SMa1247,SMa1232
SMa0670,SMa1186,SMa1253
