camp_lodi,camp_verb,lodi_verb
SinmeB_5234,SM2011_c00595,SM2011_c01290
SM2011_c03026,SM2011_c01906,SM2011_c03052
SM2011_c01720,SM2011_c04454,SM2011_c01657
SM2011_c00366,SM2011_c01326,SM2011_c01428
SM2011_c00925,SM2011_b21295,SM2011_c00363
SM2011_c03052,SM2011_c01287,SM2011_c03858
SM2011_c00494,SM2011_c03041,SM2011_c03014
SM2011_b21113,SM2011_c01657,SM2011_c00568
SM2011_c03014,SM2011_c01428,SinmeB_6152
SM2011_c00622,SinmeB_6152,SM2011_c02099
SM2011_c03877,SM2011_c02099,SM2011_c04009
SM2011_c04252,SinmeB_5539,SM2011_c01207
SM2011_c00908,SM2011_c03025,SM2011_c01563
SM2011_c03876,SM2011_c04009,SM2011_c03041
SM2011_c04088,SM2011_c01207,SM2011_c00918
SM2011_c00097,SM2011_c01563,SM2011_c04273
SM2011_c00134,SM2011_c00918,SM2011_c04214
SM2011_c01231,SM2011_c03024,SM2011_c01499
SM2011_c00294,SM2011_c03057,SM2011_c03024
SM2011_c00526,SM2011_c01812,SM2011_b20647
SM2011_b21097,SinmeB_5234,SM2011_c03057
SM2011_c02090,SM2011_c01720,SM2011_c00925
SM2011_b21418,SM2011_c00366,SM2011_c00494
SM2011_c00077,SM2011_c03028,SM2011_b21113
SM2011_c03025,SM2011_c00622,SM2011_c03877
SM2011_c00488,SM2011_c04252,SM2011_c00134
SM2011_c02500,SM2011_c00908,SM2011_c01231
SM2011_c02284,SM2011_c03876,SM2011_c00526
SM2011_b21252,SM2011_c04088,SM2011_c03044
SM2011_c01192,SM2011_c00097,SM2011_c03028
SM2011_c00993,SM2011_c00294,SM2011_b21418
SM2011_c02091,SM2011_b21097,SM2011_c00077
SM2011_c03044,SM2011_c02090,SM2011_c02284
SM2011_c03042,SM2011_c03042,SM2011_c01192
SM2011_c03029,SM2011_c00488,SM2011_c00993
SM2011_c03071,SM2011_c02500,SM2011_c02091
SM2011_c03048,SM2011_b21252,SM2011_c03048
SM2011_c00986,SM2011_c03029,SM2011_c00088
SinmeB_6188,SM2011_c03071,SM2011_c03050
SM2011_c03047,SM2011_c00088,SM2011_c00765
SM2011_c03022,SM2011_c00986,SM2011_c03046
SM2011_c01468,SM2011_c03050,SM2011_c03007
SM2011_c03021,SM2011_c00765,SM2011_c03022
SinmeB_5826,SinmeB_6188,SinmeB_5826
SM2011_c03034,SM2011_c03047,SinmeB_5828
SM2011_c03051,SM2011_c03046,SM2011_c01468
SM2011_c01104,SM2011_c03007,SM2011_c03034
SM2011_c03008,SinmeB_5828,SM2011_c01104
SM2011_c03033,SM2011_c03021,SM2011_c00565
SM2011_c01313,SM2011_c03051,SM2011_c01306
SM2011_c01306,SM2011_c03008,SM2011_c03039
SinmeB_6156,SM2011_c03033,SM2011_c01283
SM2011_c03039,SM2011_c00565,SM2011_c01292
SM2011_c01283,SM2011_c01313,SM2011_c01312
SM2011_c03772,SinmeB_6156,SM2011_c03772
SM2011_c01314,SM2011_c01292,SM2011_c01314
SM2011_c02100,SM2011_c01312,SM2011_c02582
SM2011_c01294,SM2011_c02582,SM2011_c01308
SM2011_c01309,SM2011_c01308,SinmeB_5824
SinmeB_5821,SM2011_c02100,SinmeB_5820
SM2011_c00325,SinmeB_5824,SM2011_c01294
SM2011_c01319,SinmeB_5820,SM2011_c01304
SinmeB_5825,SM2011_c01304,SM2011_c02482
SM2011_c01293,SM2011_c01309,SM2011_c00325
SM2011_c03072,SinmeB_5825,SM2011_c01300
SM2011_c01302,SinmeB_5821,SM2011_c01319
SM2011_c01301,SM2011_c02482,SinmeB_6198
SM2011_c02479,SM2011_c01300,SM2011_c03072
SM2011_c01297,SM2011_c01293,SM2011_c01302
SinmeB_6189,SinmeB_6198,SM2011_c01804
SM2011_c02483,SM2011_c01301,SM2011_c03032
SM2011_c01333,SM2011_c01804,SM2011_c00335
SM2011_c00912,SM2011_c03032,SM2011_b21294
SM2011_c01215,SM2011_c02479,SM2011_c02695
SinmeB_5985,SM2011_b21294,SM2011_c01296
SM2011_c02101,SM2011_c00335,SM2011_b21403
SM2011_c03022,SM2011_c01297,SinmeB_6189
SinmeB_5760,SM2011_c02695,SM2011_c00485
SinmeB_6160,SM2011_c01296,SinmeB_6159
SM2011_c04325,SM2011_b21403,SM2011_c03022
SM2011_c02480,SinmeB_6159,SM2011_c00912
SM2011_c01095,SM2011_c00485,SM2011_c01333
SM2011_c03034,SinmeB_5985,SinmeB_5760
SM2011_c00986,SM2011_c02483,SM2011_c02101
SM2011_c03029,SinmeB_6160,SinmeB_6186
SinmeB_5822,SM2011_c01215,SM2011_c04325
SinmeB_6203,SinmeB_6186,SM2011_c03863
SinmeB_6175,SM2011_c03863,SM2011_c03046
SM2011_c02282,SM2011_c03046,SM2011_c00591
SM2011_c03051,SM2011_c00591,SM2011_c03034
SM2011_c01907,SM2011_c00986,SM2011_c02480
SM2011_c03047,SinmeB_5536,SinmeB_5536
SM2011_c03030,SM2011_c03032,SinmeB_6172
SM2011_c03044,SinmeB_6172,SM2011_c03032
SM2011_c03112,SM2011_c01095,SM2011_c04346
SM2011_c02485,SM2011_c03029,SinmeB_5822
SM2011_c01907,SM2011_c04346,SinmeB_6203
SM2011_c03818,SM2011_c03969,SM2011_c03969
SinmeB_6211,SM2011_b21403,SM2011_b21403
SM2011_c03172,SinmeB_6175,SM2011_c04346
SM2011_c03112,SM2011_c03050,SM2011_c03050
,SM2011_c04346,SM2011_c03030
